Cargo	Agrupacion	Seccion	Votos
DIPUTADOS PROVINCIALES		Comuna 6	4418
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 5	919
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 5	646
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 5	521
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 5	322
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 5	13895
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 5	49412
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 5	30772
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 5	8604
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 5	537
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 5	260
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 5	3431
DIPUTADOS PROVINCIALES		Comuna 5	4795
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 4	901
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 4	952
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 4	671
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 4	490
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 4	16578
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 4	48712
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 4	41379
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 4	8809
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 4	754
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 4	293
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 4	2800
DIPUTADOS PROVINCIALES		Comuna 4	6661
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 3	815
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 3	683
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 3	495
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 3	364
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 3	15229
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 3	47290
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 3	29474
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 3	7493
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 3	530
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 3	266
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 3	2703
DIPUTADOS PROVINCIALES		Comuna 3	5144
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 2	459
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 2	228
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 2	319
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 2	166
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 2	12548
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 2	60832
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 2	13137
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 2	3803
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 2	356
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 2	149
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 2	1468
DIPUTADOS PROVINCIALES		Comuna 2	2732
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	Comuna 1	869
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	Comuna 1	685
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	Comuna 1	577
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	Comuna 1	376
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	Comuna 1	16213
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	Comuna 1	55165
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	Comuna 1	30334
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES	Comuna 1	7078
DIPUTADOS PROVINCIALES	FEDERAL	Comuna 1	570
DIPUTADOS PROVINCIALES	AUTONOMISTA	Comuna 1	225
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	Comuna 1	2484
DIPUTADOS PROVINCIALES		Comuna 1	4884
