Cargo	Comuna	Partido Descripcion	Total Votos
DIP.LEGIS.CABA	COMUNA 12	UNITE POR LA LIBERTAD Y LA DIG	2711
DIP.LEGIS.CABA	COMUNA 4	UNITE POR LA LIBERTAD Y LA DIG	2344
DIP.LEGIS.CABA	COMUNA 11	UNITE POR LA LIBERTAD Y LA DIG	2634
DIP.LEGIS.CABA	COMUNA 7	UNITE POR LA LIBERTAD Y LA DIG	2589
DIP.LEGIS.CABA	COMUNA 15	UNITE POR LA LIBERTAD Y LA DIG	2164
DIP.LEGIS.CABA	COMUNA 6	UNITE POR LA LIBERTAD Y LA DIG	2246
DIP.LEGIS.CABA	COMUNA 1	UNITE POR LA LIBERTAD Y LA DIG	2272
DIP.LEGIS.CABA	COMUNA 5	UNITE POR LA LIBERTAD Y LA DIG	2249
DIP.LEGIS.CABA	COMUNA 10	UNITE POR LA LIBERTAD Y LA DIG	2394
DIP.LEGIS.CABA	COMUNA 3	UNITE POR LA LIBERTAD Y LA DIG	2288
DIP.LEGIS.CABA	COMUNA 9	UNITE POR LA LIBERTAD Y LA DIG	2461
DIP.LEGIS.CABA	COMUNA 8	UNITE POR LA LIBERTAD Y LA DIG	1950
DIP.LEGIS.CABA	COMUNA 2	UNITE POR LA LIBERTAD Y LA DIG	1703
DIP.LEGIS.CABA	COMUNA 13	FRENTE IZQ Y DE TRAB-UNIDAD	7032
DIP.LEGIS.CABA	COMUNA 14	FRENTE IZQ Y DE TRAB-UNIDAD	6513
DIP.LEGIS.CABA	COMUNA 12	FRENTE IZQ Y DE TRAB-UNIDAD	7736
DIP.LEGIS.CABA	COMUNA 4	FRENTE IZQ Y DE TRAB-UNIDAD	6249
DIP.LEGIS.CABA	COMUNA 11	FRENTE IZQ Y DE TRAB-UNIDAD	6522
DIP.LEGIS.CABA	COMUNA 7	FRENTE IZQ Y DE TRAB-UNIDAD	6267
DIP.LEGIS.CABA	COMUNA 15	FRENTE IZQ Y DE TRAB-UNIDAD	7757
DIP.LEGIS.CABA	COMUNA 6	FRENTE IZQ Y DE TRAB-UNIDAD	6720
DIP.LEGIS.CABA	COMUNA 1	FRENTE IZQ Y DE TRAB-UNIDAD	5292
DIP.LEGIS.CABA	COMUNA 5	FRENTE IZQ Y DE TRAB-UNIDAD	7245
DIP.LEGIS.CABA	COMUNA 10	FRENTE IZQ Y DE TRAB-UNIDAD	5876
DIP.LEGIS.CABA	COMUNA 3	FRENTE IZQ Y DE TRAB-UNIDAD	6283
DIP.LEGIS.CABA	COMUNA 9	FRENTE IZQ Y DE TRAB-UNIDAD	5000
DIP.LEGIS.CABA	COMUNA 8	FRENTE IZQ Y DE TRAB-UNIDAD	3935
DIP.LEGIS.CABA	COMUNA 2	FRENTE IZQ Y DE TRAB-UNIDAD	3449
DIP.LEGIS.CABA	COMUNA 13	ALIANZA JUNTOS POR EL CAMBIO	116293
DIP.LEGIS.CABA	COMUNA 14	ALIANZA JUNTOS POR EL CAMBIO	108755
DIP.LEGIS.CABA	COMUNA 12	ALIANZA JUNTOS POR EL CAMBIO	86286
DIP.LEGIS.CABA	COMUNA 4	ALIANZA JUNTOS POR EL CAMBIO	59428
DIP.LEGIS.CABA	COMUNA 11	ALIANZA JUNTOS POR EL CAMBIO	75595
DIP.LEGIS.CABA	COMUNA 7	ALIANZA JUNTOS POR EL CAMBIO	67207
DIP.LEGIS.CABA	COMUNA 15	ALIANZA JUNTOS POR EL CAMBIO	62421
DIP.LEGIS.CABA	COMUNA 6	ALIANZA JUNTOS POR EL CAMBIO	72112
DIP.LEGIS.CABA	COMUNA 1	ALIANZA JUNTOS POR EL CAMBIO	67066
DIP.LEGIS.CABA	COMUNA 5	ALIANZA JUNTOS POR EL CAMBIO	60100
DIP.LEGIS.CABA	COMUNA 10	ALIANZA JUNTOS POR EL CAMBIO	59570
DIP.LEGIS.CABA	COMUNA 3	ALIANZA JUNTOS POR EL CAMBIO	57433
DIP.LEGIS.CABA	COMUNA 9	ALIANZA JUNTOS POR EL CAMBIO	54223
DIP.LEGIS.CABA	COMUNA 8	ALIANZA JUNTOS POR EL CAMBIO	42251
DIP.LEGIS.CABA	COMUNA 2	ALIANZA JUNTOS POR EL CAMBIO	77527
DIP.LEGIS.CABA	COMUNA 13	ALIANZA FRENTE DE TODOS	37744
DIP.LEGIS.CABA	COMUNA 14	ALIANZA FRENTE DE TODOS	37049
DIP.LEGIS.CABA	COMUNA 12	ALIANZA FRENTE DE TODOS	47077
DIP.LEGIS.CABA	COMUNA 4	ALIANZA FRENTE DE TODOS	60235
DIP.LEGIS.CABA	COMUNA 11	ALIANZA FRENTE DE TODOS	44346
DIP.LEGIS.CABA	COMUNA 7	ALIANZA FRENTE DE TODOS	50170
DIP.LEGIS.CABA	COMUNA 15	ALIANZA FRENTE DE TODOS	48215
DIP.LEGIS.CABA	COMUNA 6	ALIANZA FRENTE DE TODOS	39853
DIP.LEGIS.CABA	COMUNA 1	ALIANZA FRENTE DE TODOS	43990
DIP.LEGIS.CABA	COMUNA 5	ALIANZA FRENTE DE TODOS	45377
DIP.LEGIS.CABA	COMUNA 10	ALIANZA FRENTE DE TODOS	42019
DIP.LEGIS.CABA	COMUNA 3	ALIANZA FRENTE DE TODOS	44489
DIP.LEGIS.CABA	COMUNA 9	ALIANZA FRENTE DE TODOS	46818
DIP.LEGIS.CABA	COMUNA 8	ALIANZA FRENTE DE TODOS	53599
DIP.LEGIS.CABA	COMUNA 2	ALIANZA FRENTE DE TODOS	20762
DIP.LEGIS.CABA	COMUNA 13	ALIANZA CONSENSO FEDERAL	7322
DIP.LEGIS.CABA	COMUNA 14	ALIANZA CONSENSO FEDERAL	6248
DIP.LEGIS.CABA	COMUNA 12	ALIANZA CONSENSO FEDERAL	8940
DIP.LEGIS.CABA	COMUNA 4	ALIANZA CONSENSO FEDERAL	7622
DIP.LEGIS.CABA	COMUNA 11	ALIANZA CONSENSO FEDERAL	8574
DIP.LEGIS.CABA	COMUNA 7	ALIANZA CONSENSO FEDERAL	8080
DIP.LEGIS.CABA	COMUNA 15	ALIANZA CONSENSO FEDERAL	7305
DIP.LEGIS.CABA	COMUNA 6	ALIANZA CONSENSO FEDERAL	7184
DIP.LEGIS.CABA	COMUNA 1	ALIANZA CONSENSO FEDERAL	5578
DIP.LEGIS.CABA	COMUNA 5	ALIANZA CONSENSO FEDERAL	7271
DIP.LEGIS.CABA	COMUNA 10	ALIANZA CONSENSO FEDERAL	8223
DIP.LEGIS.CABA	COMUNA 3	ALIANZA CONSENSO FEDERAL	6605
DIP.LEGIS.CABA	COMUNA 9	ALIANZA CONSENSO FEDERAL	8029
DIP.LEGIS.CABA	COMUNA 8	ALIANZA CONSENSO FEDERAL	6157
DIP.LEGIS.CABA	COMUNA 2	ALIANZA CONSENSO FEDERAL	3922
JEFE y VICE DE GOBIERNO	COMUNA 13	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 14	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 12	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 4	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 11	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 7	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 15	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 6	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 1	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 5	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 10	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 3	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 9	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 8	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 2	VOTOS RECURRIDOS	0
JEFE y VICE DE GOBIERNO	COMUNA 13	VOTOS NULOS	962
JEFE y VICE DE GOBIERNO	COMUNA 14	VOTOS NULOS	932
JEFE y VICE DE GOBIERNO	COMUNA 12	VOTOS NULOS	1111
JEFE y VICE DE GOBIERNO	COMUNA 4	VOTOS NULOS	1135
JEFE y VICE DE GOBIERNO	COMUNA 11	VOTOS NULOS	1063
JEFE y VICE DE GOBIERNO	COMUNA 7	VOTOS NULOS	1089
JEFE y VICE DE GOBIERNO	COMUNA 15	VOTOS NULOS	1050
JEFE y VICE DE GOBIERNO	COMUNA 6	VOTOS NULOS	874
JEFE y VICE DE GOBIERNO	COMUNA 1	VOTOS NULOS	867
JEFE y VICE DE GOBIERNO	COMUNA 5	VOTOS NULOS	873
JEFE y VICE DE GOBIERNO	COMUNA 10	VOTOS NULOS	990
JEFE y VICE DE GOBIERNO	COMUNA 3	VOTOS NULOS	901
JEFE y VICE DE GOBIERNO	COMUNA 9	VOTOS NULOS	985
JEFE y VICE DE GOBIERNO	COMUNA 8	VOTOS NULOS	1062
JEFE y VICE DE GOBIERNO	COMUNA 2	VOTOS NULOS	525
JEFE y VICE DE GOBIERNO	COMUNA 13	VOTOS EN BLANCO	5645
JEFE y VICE DE GOBIERNO	COMUNA 14	VOTOS EN BLANCO	5155
JEFE y VICE DE GOBIERNO	COMUNA 12	VOTOS EN BLANCO	6085
JEFE y VICE DE GOBIERNO	COMUNA 4	VOTOS EN BLANCO	8134
JEFE y VICE DE GOBIERNO	COMUNA 11	VOTOS EN BLANCO	5919
JEFE y VICE DE GOBIERNO	COMUNA 7	VOTOS EN BLANCO	6614
JEFE y VICE DE GOBIERNO	COMUNA 15	VOTOS EN BLANCO	5704
JEFE y VICE DE GOBIERNO	COMUNA 6	VOTOS EN BLANCO	4990
JEFE y VICE DE GOBIERNO	COMUNA 1	VOTOS EN BLANCO	6018
JEFE y VICE DE GOBIERNO	COMUNA 5	VOTOS EN BLANCO	5504
JEFE y VICE DE GOBIERNO	COMUNA 10	VOTOS EN BLANCO	5756
JEFE y VICE DE GOBIERNO	COMUNA 3	VOTOS EN BLANCO	6029
JEFE y VICE DE GOBIERNO	COMUNA 9	VOTOS EN BLANCO	6091
JEFE y VICE DE GOBIERNO	COMUNA 8	VOTOS EN BLANCO	6860
JEFE y VICE DE GOBIERNO	COMUNA 2	VOTOS EN BLANCO	3382
JEFE y VICE DE GOBIERNO	COMUNA 13	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 14	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 12	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 4	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 11	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 7	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 15	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 6	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 1	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 5	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 10	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 3	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 9	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 8	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 2	VOTOS DE IDENTIDAD IMPUGNADA	0
JEFE y VICE DE GOBIERNO	COMUNA 13	FRENTE IZQ Y DE TRAB-UNIDAD	5335
JEFE y VICE DE GOBIERNO	COMUNA 14	FRENTE IZQ Y DE TRAB-UNIDAD	4713
JEFE y VICE DE GOBIERNO	COMUNA 12	FRENTE IZQ Y DE TRAB-UNIDAD	5835
JEFE y VICE DE GOBIERNO	COMUNA 4	FRENTE IZQ Y DE TRAB-UNIDAD	5259
JEFE y VICE DE GOBIERNO	COMUNA 11	FRENTE IZQ Y DE TRAB-UNIDAD	5074
JEFE y VICE DE GOBIERNO	COMUNA 7	FRENTE IZQ Y DE TRAB-UNIDAD	4873
JEFE y VICE DE GOBIERNO	COMUNA 15	FRENTE IZQ Y DE TRAB-UNIDAD	5856
JEFE y VICE DE GOBIERNO	COMUNA 6	FRENTE IZQ Y DE TRAB-UNIDAD	4996
JEFE y VICE DE GOBIERNO	COMUNA 1	FRENTE IZQ Y DE TRAB-UNIDAD	4222
JEFE y VICE DE GOBIERNO	COMUNA 5	FRENTE IZQ Y DE TRAB-UNIDAD	5507
JEFE y VICE DE GOBIERNO	COMUNA 10	FRENTE IZQ Y DE TRAB-UNIDAD	4556
JEFE y VICE DE GOBIERNO	COMUNA 3	FRENTE IZQ Y DE TRAB-UNIDAD	4920
JEFE y VICE DE GOBIERNO	COMUNA 9	FRENTE IZQ Y DE TRAB-UNIDAD	4091
JEFE y VICE DE GOBIERNO	COMUNA 8	FRENTE IZQ Y DE TRAB-UNIDAD	3470
JEFE y VICE DE GOBIERNO	COMUNA 2	FRENTE IZQ Y DE TRAB-UNIDAD	2642
JEFE y VICE DE GOBIERNO	COMUNA 13	ALIANZA JUNTOS POR EL CAMBIO	118834
JEFE y VICE DE GOBIERNO	COMUNA 14	ALIANZA JUNTOS POR EL CAMBIO	110975
JEFE y VICE DE GOBIERNO	COMUNA 12	ALIANZA JUNTOS POR EL CAMBIO	88356
JEFE y VICE DE GOBIERNO	COMUNA 4	ALIANZA JUNTOS POR EL CAMBIO	61254
JEFE y VICE DE GOBIERNO	COMUNA 11	ALIANZA JUNTOS POR EL CAMBIO	77371
JEFE y VICE DE GOBIERNO	COMUNA 7	ALIANZA JUNTOS POR EL CAMBIO	68957
JEFE y VICE DE GOBIERNO	COMUNA 15	ALIANZA JUNTOS POR EL CAMBIO	64273
JEFE y VICE DE GOBIERNO	COMUNA 6	ALIANZA JUNTOS POR EL CAMBIO	73829
JEFE y VICE DE GOBIERNO	COMUNA 1	ALIANZA JUNTOS POR EL CAMBIO	68781
JEFE y VICE DE GOBIERNO	COMUNA 5	ALIANZA JUNTOS POR EL CAMBIO	61735
JEFE y VICE DE GOBIERNO	COMUNA 10	ALIANZA JUNTOS POR EL CAMBIO	61023
JEFE y VICE DE GOBIERNO	COMUNA 3	ALIANZA JUNTOS POR EL CAMBIO	59000
JEFE y VICE DE GOBIERNO	COMUNA 9	ALIANZA JUNTOS POR EL CAMBIO	55535
JEFE y VICE DE GOBIERNO	COMUNA 8	ALIANZA JUNTOS POR EL CAMBIO	43561
JEFE y VICE DE GOBIERNO	COMUNA 2	ALIANZA JUNTOS POR EL CAMBIO	79044
JEFE y VICE DE GOBIERNO	COMUNA 13	ALIANZA FRENTE DE TODOS	39027
JEFE y VICE DE GOBIERNO	COMUNA 14	ALIANZA FRENTE DE TODOS	38500
JEFE y VICE DE GOBIERNO	COMUNA 12	ALIANZA FRENTE DE TODOS	48817
JEFE y VICE DE GOBIERNO	COMUNA 4	ALIANZA FRENTE DE TODOS	61100
JEFE y VICE DE GOBIERNO	COMUNA 11	ALIANZA FRENTE DE TODOS	45774
JEFE y VICE DE GOBIERNO	COMUNA 7	ALIANZA FRENTE DE TODOS	51718
JEFE y VICE DE GOBIERNO	COMUNA 15	ALIANZA FRENTE DE TODOS	49975
JEFE y VICE DE GOBIERNO	COMUNA 6	ALIANZA FRENTE DE TODOS	41475
JEFE y VICE DE GOBIERNO	COMUNA 1	ALIANZA FRENTE DE TODOS	45006
JEFE y VICE DE GOBIERNO	COMUNA 5	ALIANZA FRENTE DE TODOS	47024
JEFE y VICE DE GOBIERNO	COMUNA 10	ALIANZA FRENTE DE TODOS	43372
JEFE y VICE DE GOBIERNO	COMUNA 3	ALIANZA FRENTE DE TODOS	45818
JEFE y VICE DE GOBIERNO	COMUNA 9	ALIANZA FRENTE DE TODOS	47795
JEFE y VICE DE GOBIERNO	COMUNA 8	ALIANZA FRENTE DE TODOS	54014
JEFE y VICE DE GOBIERNO	COMUNA 2	ALIANZA FRENTE DE TODOS	21477
JEFE y VICE DE GOBIERNO	COMUNA 13	ALIANZA CONSENSO FEDERAL	7042
JEFE y VICE DE GOBIERNO	COMUNA 14	ALIANZA CONSENSO FEDERAL	6011
JEFE y VICE DE GOBIERNO	COMUNA 12	ALIANZA CONSENSO FEDERAL	8743
JEFE y VICE DE GOBIERNO	COMUNA 4	ALIANZA CONSENSO FEDERAL	7528
JEFE y VICE DE GOBIERNO	COMUNA 11	ALIANZA CONSENSO FEDERAL	8460
JEFE y VICE DE GOBIERNO	COMUNA 7	ALIANZA CONSENSO FEDERAL	7909
JEFE y VICE DE GOBIERNO	COMUNA 15	ALIANZA CONSENSO FEDERAL	7171
JEFE y VICE DE GOBIERNO	COMUNA 6	ALIANZA CONSENSO FEDERAL	7005
JEFE y VICE DE GOBIERNO	COMUNA 1	ALIANZA CONSENSO FEDERAL	5517
JEFE y VICE DE GOBIERNO	COMUNA 5	ALIANZA CONSENSO FEDERAL	7155
JEFE y VICE DE GOBIERNO	COMUNA 10	ALIANZA CONSENSO FEDERAL	8055
JEFE y VICE DE GOBIERNO	COMUNA 3	ALIANZA CONSENSO FEDERAL	6508
JEFE y VICE DE GOBIERNO	COMUNA 9	ALIANZA CONSENSO FEDERAL	7907
JEFE y VICE DE GOBIERNO	COMUNA 8	ALIANZA CONSENSO FEDERAL	6138
JEFE y VICE DE GOBIERNO	COMUNA 2	ALIANZA CONSENSO FEDERAL	3771
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	VOTOS RECURRIDOS	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	VOTOS NULOS	909
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	VOTOS NULOS	1027
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	VOTOS NULOS	1147
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	VOTOS NULOS	1165
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	VOTOS NULOS	1095
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	VOTOS NULOS	1117
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	VOTOS NULOS	1096
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	VOTOS NULOS	878
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	VOTOS NULOS	938
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	VOTOS NULOS	910
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	VOTOS NULOS	984
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	VOTOS NULOS	917
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	VOTOS NULOS	998
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	VOTOS NULOS	1077
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	VOTOS NULOS	562
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	VOTOS EN BLANCO	7188
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	VOTOS EN BLANCO	4411
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	VOTOS EN BLANCO	7705
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	VOTOS EN BLANCO	9669
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	VOTOS EN BLANCO	4918
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	VOTOS EN BLANCO	8163
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 15	VOTOS EN BLANCO	5054
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 6	VOTOS EN BLANCO	4209
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 1	VOTOS EN BLANCO	7443
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 5	VOTOS EN BLANCO	6830
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 10	VOTOS EN BLANCO	4685
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 3	VOTOS EN BLANCO	7398
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 9	VOTOS EN BLANCO	5015
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 8	VOTOS EN BLANCO	6392
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 2	VOTOS EN BLANCO	4438
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 13	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 14	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 12	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 4	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 11	VOTOS DE IDENTIDAD IMPUGNADA	0
MIEMBROS DE LA JUNTA COMUNAL	COMUNA 7	VOTOS DE IDENTIDAD IMPUGNADA	0
