Imagen,Continente,Pais,agosto-20,septiembre-20,octubre-20,noviembre-20,diciembre-20,enero-21,febrero-21,marzo-21,abril-21,mayo-21,junio-21,julio-21,agosto-21,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/us.svg,America,Estados Unidos,4927,31895,57795,44706,71664,62960,86933,34424,43796,26041,22130,36601,15023,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/ph.svg,Asia,Filipinas,0,0,0,0,0,0,0,0,0,123,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/fr.svg,Europa,Francia,0,315,0,0,593,0,1153,0,25177,273,225,0,68,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/il.svg,Asia,Israel,0,0,0,0,181,0,181,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/it.svg,Europa,Italia,0,0,0,0,168,181,0,0,2,0,0,421,173,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/jm.svg,America,Jamaica,0,449,0,0,446,0,652,0,3,328,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/jp.svg,Asia,Japon,0,0,328,0,155,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/mx.svg,America,Mexico,0,1028,671,346,1287,0,617,273,199,133,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/np.svg,Asia,Nepal,0,0,288,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/no.svg,Europa,Noruega,0,0,0,0,0,0,0,0,160,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/nz.svg,Oceania,Nueva Zelanda,0,0,372,0,235,322,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/nl.svg,Europa,Paises Bajos,0,0,423,0,693,373,262,0,171,164,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/pa.svg,America,Panamá,184,450,2312,11737,5990,10672,6793,2282,1449,3209,3493,2895,646,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/pe.svg,America,Peru,0,1,0,0,0,0,410,0,221,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/gb.svg,Europa,Reino Unido,0,6753,15965,3040,16581,16556,21558,3341,5941,1061,3561,4289,9121,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/do.svg,America,Republica Dominicana,0,0,222,0,574,0,824,5756,4661,656,34,1069,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/ro.svg,Europa,Rumania,0,0,0,34,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/ru.svg,Europa,Rusia,0,201,0,0,544,0,458,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/sg.svg,Asia,Singapur,0,0,221,0,221,0,221,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/sy.svg,Asia,Siria,0,0,0,0,0,0,0,0,0,403,42,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/za.svg,Africa,Sudafrica,0,53,685,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/se.svg,Europa,Suecia,0,0,0,0,224,0,1150,0,0,0,0,0,45,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/uy.svg,America,Uruguay,0,359,2317,2136,9180,4951,5690,667,691,142,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/ve.svg,America,Venezuela,0,1980,1115,7691,6020,2318,3158,5513,2092,355,0,0,0,,,,,,,,,,,,,,,,,
https://public.flourish.studio/country-flags/svg/ye.svg,asia,Yemen,0.00,0,0,0,212.607,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
