Cargo	Seccion	Agrupacion	Votos
DIPUTADOS NACIONALES	Comuna 11	AUTODETERMINACIÓN Y LIBERTAD	4723
DIPUTADOS NACIONALES	Comuna 10	AUTODETERMINACIÓN Y LIBERTAD	4126
DIPUTADOS NACIONALES	Comuna 09	AUTODETERMINACIÓN Y LIBERTAD	3420
DIPUTADOS NACIONALES	Comuna 08	AUTODETERMINACIÓN Y LIBERTAD	2616
DIPUTADOS NACIONALES	Comuna 07	AUTODETERMINACIÓN Y LIBERTAD	4018
DIPUTADOS NACIONALES	Comuna 06	AUTODETERMINACIÓN Y LIBERTAD	4296
DIPUTADOS NACIONALES	Comuna 05	AUTODETERMINACIÓN Y LIBERTAD	3971
DIPUTADOS NACIONALES	Comuna 04	AUTODETERMINACIÓN Y LIBERTAD	3724
DIPUTADOS NACIONALES	Comuna 03	AUTODETERMINACIÓN Y LIBERTAD	3263
DIPUTADOS NACIONALES	Comuna 02	AUTODETERMINACIÓN Y LIBERTAD	1819
DIPUTADOS NACIONALES	Comuna 01	AUTODETERMINACIÓN Y LIBERTAD	2991
DIPUTADOS NACIONALES	Comuna 15	VOTOS EN BLANCO	2839
DIPUTADOS NACIONALES	Comuna 14	VOTOS EN BLANCO	2686
DIPUTADOS NACIONALES	Comuna 13	VOTOS EN BLANCO	2948
DIPUTADOS NACIONALES	Comuna 12	VOTOS EN BLANCO	3201
DIPUTADOS NACIONALES	Comuna 11	VOTOS EN BLANCO	3112
DIPUTADOS NACIONALES	Comuna 10	VOTOS EN BLANCO	2694
DIPUTADOS NACIONALES	Comuna 09	VOTOS EN BLANCO	2755
DIPUTADOS NACIONALES	Comuna 08	VOTOS EN BLANCO	2735
DIPUTADOS NACIONALES	Comuna 07	VOTOS EN BLANCO	3113
DIPUTADOS NACIONALES	Comuna 06	VOTOS EN BLANCO	2493
DIPUTADOS NACIONALES	Comuna 05	VOTOS EN BLANCO	2539
DIPUTADOS NACIONALES	Comuna 04	VOTOS EN BLANCO	3170
DIPUTADOS NACIONALES	Comuna 03	VOTOS EN BLANCO	2544
DIPUTADOS NACIONALES	Comuna 02	VOTOS EN BLANCO	1640
DIPUTADOS NACIONALES	Comuna 01	VOTOS EN BLANCO	2497
DIPUTADOS PROVINCIALES	Comuna 15	LA LIBERTAD AVANZA	17907
DIPUTADOS PROVINCIALES	Comuna 14	LA LIBERTAD AVANZA	24411
DIPUTADOS PROVINCIALES	Comuna 13	LA LIBERTAD AVANZA	26172
DIPUTADOS PROVINCIALES	Comuna 12	LA LIBERTAD AVANZA	23746
DIPUTADOS PROVINCIALES	Comuna 11	LA LIBERTAD AVANZA	22880
DIPUTADOS PROVINCIALES	Comuna 10	LA LIBERTAD AVANZA	19657
DIPUTADOS PROVINCIALES	Comuna 09	LA LIBERTAD AVANZA	20567
DIPUTADOS PROVINCIALES	Comuna 08	LA LIBERTAD AVANZA	19701
DIPUTADOS PROVINCIALES	Comuna 07	LA LIBERTAD AVANZA	23159
DIPUTADOS PROVINCIALES	Comuna 06	LA LIBERTAD AVANZA	18361
DIPUTADOS PROVINCIALES	Comuna 05	LA LIBERTAD AVANZA	17982
DIPUTADOS PROVINCIALES	Comuna 04	LA LIBERTAD AVANZA	22437
DIPUTADOS PROVINCIALES	Comuna 03	LA LIBERTAD AVANZA	19770
DIPUTADOS PROVINCIALES	Comuna 02	LA LIBERTAD AVANZA	17771
DIPUTADOS PROVINCIALES	Comuna 01	LA LIBERTAD AVANZA	21959
DIPUTADOS PROVINCIALES	Comuna 15	JUNTOS POR EL CAMBIO	52696
